Geneid	Length	genome_mapping/High_6620c1.rep3.RNAseq.mm10.sorted.bam
Zfp85	2286	178
Scap	4288	7389
Zfp458	5455	187
Fbxo41	6678	2
Taf9b	2665	452
BC051142	1969	10
Ccdc148	4004	76
A2ml1	4698	374
Zfp941	3909	38
BC031181	1209	3666
Baz2b	7980	3404
Tmem204	1779	649
Primpol	3835	748
BC048507	598	0
Zfp456	4079	93
Zfp738	4504	524
Dis3l	3970	1614
Thnsl1	4043	1043
Itga8	5845	71
Pramel4	2409	0
Tbx10	1778	0
Slc35d2	2276	1414
Adamts13	5026	95
Denn2b	4526	1875
Vkorc1l1	4919	3883
Cstdc6	387	0
Hexdc	2379	1016
Spag6	1651	37
Plekha8	6988	1186
Defb29	405	0
Trpv1	3587	8
Cyp2c23	2197	1084
Zscan22	3507	419
AF067063	886	0
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	6
Tas2r144	960	0
Ttyh1	3057	73
Atp8b1	6440	2684
Mfsd4b5	5981	26
Oxgr1	3732	4
Tpm4	2099	47050
Lca5l	3170	67
Wdr83os	699	2721
Tnip3	3769	334
Gja6	2017	2
Usp17ld	1638	4
Chpf	3235	4699
Dab2ip	7509	8914
Prss48	1187	5
Sohlh1	1287	0
Nsd3	13244	8273
Zfp950	10561	1455
Itprip	3986	2642
Zfp239	3282	650
Prrxl1	3924	0
Atp11c	6169	3412
Spink7	319	0
Ephx4	1548	129
Olfr576	939	0
Zfp36l2	3533	30268
Olfr279	933	0
Olfr221	936	0
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	3963
2510009E07Rik	5164	1182
Rtel1	4559	3024
Hecw2	11334	592
Nckap5l	4854	604
Tmem151a	3962	2878
H2-K1	1660	20299
Eea1	7836	8373
Megf10	7514	539
Limch1	6667	2027
Utp14b	3981	587
Ccdc9b	4716	6317
Pi4ka	6663	6033
Kdm2a	7265	9938
Nat8l	6529	138
Nol4l	6523	4595
Gp1bb	2085	68
2610507B11Rik	7443	28900
Panx2	3412	25
Zfp948	2843	1344
Lmna	3362	51452
Hspa2	2681	1304
Tdrd1	5443	10
Rpl17	775	44281
Tmem158	1733	676
Adgrg6	6505	3627
Tro	7245	113
Smg6	5817	3818
Ccin	2030	2
Defb22	625	0
Pram1	2313	251
Fbxl12	2699	902
Nlrp14	3282	0
AI413582	637	1401
Bfsp2	1606	0
Atg9b	3902	6555
