Geneid	Length	genome_mapping/137-LC_R1.rn6.sorted.bam
Olr1433	984	0
Olr1457	927	0
Olr1481	937	0
Olr1509	936	0
Olr1525	963	0
Olr1538	924	0
Olr1542	927	0
Olr1568	939	0
Olr1581	933	0
Olr1607	948	0
Olr1643	927	0
Olr1657	939	0
Olr1667	945	0
Olr1l	975	0
Olr6	939	0
Olr12	924	0
Olr43	951	0
Olr63	954	18
Olr87	939	0
Olr142	945	0
Olr145	945	0
Olr152	942	1
Olr154	954	0
Olr158	960	0
Olr192	939	0
Olr202	969	1
Olr218	951	0
Olr220	915	0
Olr224	945	0
Olr286	939	0
Olr311	933	0
Olr361	933	0
Olr1693	963	0
Olr390	963	0
Olr395	939	0
Olr399	924	0
Olr482	945	0
Olr522	948	0
Olr532	966	0
Olr536	933	0
Olr541	939	0
Olr542	939	0
Olr577	939	0
Olr578	933	0
Olr690	936	0
Olr705	921	0
Olr710	945	0
Olr722	930	0
Olr724	921	0
Olr729	927	0
Olr741	927	0
Olr742	918	0
Olr744	924	0
Olr745	930	0
Olr777	939	0
Olr791	939	0
Olr838	957	0
Olr854	942	0
Olr857	948	0
Olr858	939	0
Olr859	948	0
Olr879	939	0
Olr916	954	0
Olr927	963	0
Olr960	942	0
Olr987	960	0
Olr1070	960	0
Olr1081	954	0
Olr1091	936	0
Olr1193	963	3
Olr1230	942	0
Olr1257	936	0
Olr1294	936	0
Olr1295	945	0
Olr1328	924	0
Olr796	936	0
Olr795	939	0
Olr788	939	0
Olr785	963	0
Olr784	939	0
Olr782	939	0
Olr780	939	0
Olr778	927	0
Olr776	939	0
Olr772	939	0
Olr771	945	0
Olr767	939	0
Olr757	936	0
Olr756	918	0
Olr749	939	0
Olr737	927	0
Olr734	930	0
Olr733	930	0
Olr727	930	0
Olr726	873	0
Olr717	951	0
Olr716	954	0
Olr715	924	0
Olr712	954	0
Olr711	945	0
Olr704	924	0
Olr701	918	0
Olr695	936	0
Olr693	918	0
Olr691	951	0
Olr681	936	0
Olr675	936	0
Olr670	936	0
Olr665	936	0
Olr660	924	0
Olr654	930	0
Olr653	930	0
Olr652	930	0
Olr650	927	0
Olr649	936	0
Olr648	936	0
Olr646	921	0
Olr641	909	0
Olr640	930	0
Olr636	942	0
Olr635	930	0
Olr634	942	0
Olr633	912	0
Olr625	936	0
Olr624	915	0
Olr623	837	0
Olr621	912	0
Olr613	933	0
Olr608	981	0
Olr604	957	0
Olr594	936	0
Olr590	933	0
Olr587	936	0
Olr586	936	0
Olr584	939	0
Olr582	933	0
Olr581	939	0
Olr569	930	0
Olr566	945	0
Olr563	945	0
Olr562	957	0
Olr559	945	0
Olr557	1023	0
Olr551	938	0
Olr537	939	0
Olr535	942	0
Olr533	936	0
Olr529	945	0
Olr527	948	0
Olr518	951	0
Olr508	942	0
Olr507	942	0
Olr505	942	0
Olr500	954	0
Olr496	942	0
Olr486	960	0
Olr483	960	0
Olr481	945	0
Olr480	942	0
Olr475	933	0
Olr456	915	0
Olr436	930	0
Olr34	939	10
Olr32	1008	0
Olr29	1008	0
Olr25	993	0
Olr24	942	0
Olr16	951	0
Olr14	942	0
Olr1845	953	0
Olr1067	948	0
Olr1060	957	0
Olr1014	945	0
Olr996	936	0
Olr982	936	0
Olr954	954	0
Olr931	939	0
Olr922	945	0
Olr906	938	0
Olr877	939	0
Olr876	939	0
Olr1084	933	0
Olr1083	933	0
Olr1079	933	0
Olr1076	957	0
Olr1523	910	0
Olr1520	936	0
Olr1501	936	0
Olr1496	933	0
Olr1491	939	0
Olr1490	939	0
Olr1488	939	0
Olr1486	939	0
Olr1479	936	0
Olr1471	934	0
Olr1470	945	0
Olr1468	945	0
Olr1558	948	0
Olr1555	930	0
Olr1551	930	0
Olr1541	930	0
Olr1539	921	0
Olr278	945	0
Olr271	945	0
Olr268	945	0
Olr241	933	0
Olr213	927	0
Olr209	951	0
Olr164	966	0
Olr160	969	0
Olr150	933	0
Olr125	960	0
Olr111	948	0
Olr110	966	0
Olr101	951	0
Olr89	951	0
Olr88	948	0
Olr86	939	0
Olr60	963	0
Olr57	945	0
Olr1353	1002	0
Olr1351	960	0
Olr1350	972	0
Olr1345	939	0
Olr363	939	0
Olr360	915	0
Olr358	933	0
Olr348	924	0
Olr347	924	0
Olr336	963	1
Olr331	947	0
Olr330	939	0
Olr322	936	0
Olr312	936	0
Olr310	933	0
Olr306	933	0
Olr289	930	1
Olr7	942	0
Olr1460	927	0
Olr1459	927	0
Olr1455	930	0
Olr1453	927	0
Olr1452	990	0
Olr1450	918	0
Olr1449	921	0
Olr1442	915	0
Olr1435	918	0
Olr1431	948	0
Olr1424	939	0
Olr1421	963	0
Olr1415	1008	0
Olr1414	954	0
Olr1411	933	0
Olr1410	935	0
Olr1408	942	0
Olr1406	912	0
Olr1404	948	0
Olr1388	936	0
Olr1338	948	0
Olr1331	769	0
Olr1329	933	0
Olr1321	933	0
Olr1316	939	0
Olr1313	936	0
Olr1308	933	0
Olr1303	927	0
Olr1291	960	0
Olr1288	945	0
Olr1286	960	0
Olr1275	936	0
Olr1274	933	0
Olr1266	936	0
Olr1262	942	0
Olr1261	942	0
Olr1253	933	0
Olr1250	933	0
Olr1247	921	0
Olr1246	933	0
Olr1245	933	0
Olr1244	933	0
Olr1239	933	0
Olr1236	936	2
Olr1231	951	0
Olr1220	942	0
Olr1213	945	0
Olr1206	927	0
Olr1202	930	0
Olr1201	933	0
Olr1199	936	0
Olr1194	930	0
Olr868	948	0
Olr860	942	0
Olr427	924	0
Olr421	993	0
Olr418	933	0
Olr413	939	0
Olr409	942	0
Olr407	939	0
Olr401	939	0
Olr398	930	0
Olr396	939	0
Olr1642	957	0
Olr1639	942	0
Olr1638	936	2
Olr1633	930	0
Olr1632	975	0
Olr1631	975	0
Olr1622	939	0
Olr1617	936	0
Olr1616	936	0
Olr1614	939	0
Olr821	963	0
Olr819	942	0
Olr818	933	0
Olr816	933	0
Olr813	942	1
Olr812	933	0
Olr811	936	0
Olr809	936	0
Olr808	957	0
Olr807	951	0
Olr804	954	0
Olr803	939	0
Olr799	945	0
Olr844	954	0
Olr386	975	0
Olr1380	942	0
Olr1364	963	0
Olr1192	963	0
Olr1186	999	0
Olr1179	930	0
Olr1166	939	0
Olr1165	930	0
Olr1163	939	0
Olr1162	930	0
Olr1159	930	0
Olr1158	942	0
Olr1156	939	0
Olr1149	972	0
Olr1148	939	0
Olr1144	939	0
Olr1142	939	0
Olr1135	939	0
Olr1129	963	0
Olr1126	939	0
Olr1125	939	0
Olr1122	939	0
Olr1118	966	0
Olr1117	939	0
Olr1115	939	0
Olr1710	939	0
Olr1705	939	0
Olr1692	969	0
Olr1689	972	0
Olr1682	939	0
Olr1680	1044	0
Olr1679	939	0
Olr1678	939	0
Olr1675	939	0
Olr1670	939	0
Olr1726	930	0
Olr837	948	0
Olr832	933	0
Olr831	933	0
Olr830	963	0
Olr829	984	0
Olr827	984	0
Olr826	984	1
Olr825	984	0
Olr824	984	0
Olr1104	960	0
Olr1565	945	0
Olr1602	978	0
Olr1598	933	0
Olr1597	942	0
Olr1591	951	0
Olr1587	939	14
Olr392	951	0
Olr790	939	0
Olr786	936	0
Olr779	939	0
Olr774	939	0
Olr768	939	0
Olr753	918	0
Olr735	930	0
Olr714	954	0
Olr666	936	0
Olr661	927	0
Olr611	957	0
Olr606	942	0
Olr583	933	0
Olr556	924	0
Olr520	927	0
Olr499	942	0
Olr491	939	0
Olr490	942	0
Olr463	954	0
Olr36	909	0
Olr27	942	0
Olr17	957	0
Olr995	921	0
Olr894	936	0
Olr1077	930	0
Olr1500	939	0
Olr1474	939	0
Olr1472	936	0
Olr1535	930	0
Olr260	933	0
Olr255	966	0
Olr194	951	0
Olr179	939	0
Olr162	960	0
Olr114	945	0
Olr109	954	0
Olr1352	969	0
Olr339	960	0
Olr308	933	0
Olr1456	993	0
Olr1451	915	0
Olr1445	921	0
Olr1305	954	0
Olr1292	912	0
Olr1279	948	0
Olr1260	933	0
Olr1237	930	0
Olr1228	942	0
Olr1219	954	0
Olr1200	936	0
Olr419	948	0
Olr410	939	0
Olr1635	987	0
Olr1625	930	0
Olr1609	981	0
Olr820	963	0
Olr810	933	0
Olr806	954	0
Olr802	942	0
Olr1374	942	0
Olr1370	942	0
Olr1366	945	1
Olr1191	928	0
Olr1185	969	0
Olr1172	996	0
Olr1164	942	0
Olr1160	930	0
Olr1132	969	0
Olr1128	936	0
Olr1119	948	0
Olr828	984	0
Olr823	927	0
Olr1108	936	1
Olr1590	948	0
Olr766	939	0
Olr689	936	0
Olr1073	936	0
Olr264	945	0
Olr161	960	0
Olr46	945	0
Olr1417	930	0
Olr1615	936	0
Olr801	942	0
Olr1171	939	0
Olr1681	939	0
Olr1664	951	0
Olr53	945	0
Olr1560	954	0
Olr283	945	0
Olr1405	924	0
Olr1238	930	0
Olr402	939	0
Olr1629	935	0
Olr1174	996	0
Olr1143	939	0
Olr205	951	0
Olr349	924	0
Olr1249	933	0
Olr51	951	0
Olr61	963	0
Olr94	972	0
Olr95	945	0
Olr96	957	0
Olr127	948	0
Olr129	936	0
Olr174	957	0
Olr175	966	0
Olr181	939	0
Olr186	942	0
Olr188	939	0
Olr198	966	0
Olr199	951	0
Olr232	948	0
Olr250	948	0
Olr257	945	0
Olr304	933	0
Olr313	936	0
Olr334	942	0
Olr341	921	0
Olr344	936	0
Olr354	954	0
Olr365	945	0
Olr367	936	0
Olr372	951	0
Olr445	945	0
Olr446	945	0
Olr531	945	0
Olr544	939	0
Olr545	966	0
Olr546	939	0
Olr552	939	0
Olr596	927	0
Olr629	951	0
Olr630	939	0
Olr662	933	0
Olr671	936	0
Olr677	933	0
Olr696	921	0
Olr697	924	0
Olr707	924	0
Olr709	945	0
Olr720	930	0
Olr747	939	0
Olr760	939	0
Olr862	942	0
Olr964	945	0
Olr984	936	0
Olr1022	939	0
Olr1064	939	0
Olr1068	948	0
Olr1105	918	0
Olr1137	930	0
Olr1138	942	0
Olr1195	930	0
Olr1203	948	0
Olr1225	984	0
Olr1233	942	0
Olr1254	933	0
Olr1256	933	0
Olr1318	939	0
Olr1343	939	0
Olr1391	930	0
Olr1392	936	0
Olr1394	930	0
Olr1395	930	0
Olr1396	936	0
Olr1397	933	0
Olr1399	936	0
Olr1400	936	0
Olr1462	957	0
Olr1515	972	0
Olr1528	921	0
Olr1529	921	0
Olr1530	918	0
Olr1531	918	0
Olr1532	918	0
Olr1543	921	0
Olr1545	924	0
Olr1546	924	0
Olr1547	924	0
Olr1548	924	0
Olr1585	917	9
Olr1694	945	0
Olr1697	966	0
Olr1699	966	0
Olr1700	966	0
Olr1701	957	0
Olr1707	939	0
Olr1720	915	0
Olr1722	930	0
Olr1734	942	1
Olr1197	933	0
Olr1347	972	0
Olr1652	927	1
Olr444	945	0
Olr468	939	0
Olr471	939	0
Olr637	930	0
Olr70	942	0
Olr80	954	0
Olr81	939	0
Olr130	924	0
Olr132	948	0
Olr141	951	0
Olr373	951	0
Olr377	945	0
Olr380	948	0
Olr382	945	0
Olr67	939	0
Olr69	939	0
Olr75	960	0
Olr82	945	0
Olr137	966	0
Olr72	1008	0
Olr131	924	0
Olr378	963	0
Olr77	951	0
Olr135	939	0
Olr374	957	0
Olr1512	948	0
Olr1517	948	0
Olr1537	921	0
Olr1536	930	0
Olr917	936	0
Olr905	939	0
Olr920	920	0
Olr907	936	0
Olr883	934	0
Olr908	953	0
Olr903	936	0
Olr1059	981	0
Olr1052	933	0
Olr1051	936	0
Olr1049	895	0
Olr1029	939	0
Olr936	941	0
Olr943	939	0
Olr947	844	0
Olr950	978	0
Olr1002	939	0
Olr219	924	0
Olr1686	954	0
Olr1702	954	0
Olr526	966	0
Olr530	966	0
Olr555	981	0
Olr684	918	0
Olr1090	957	0
Olr1092	957	0
Olr956	939	0
Olr886	945	0
Olr1540	930	0
Olr736	930	0
Olr921	936	0
Olr932	936	0
Olr937	936	0
Olr1093	957	0
Olr1735	927	2
Olr1736	927	0
Olr1737	927	1
Olr1739	930	0
Olr1742	930	0
Olr1743	942	0
Olr1744	939	0
Olr1746	939	0
Olr1748	939	0
Olr1749	939	0
Gtf2ird1	3110	247
Habp2	2162	0
Mrgprd	960	1
Oit3	2287	4
Plppr4	5551	238
Slc25a47	1550	1
Klhl10	2012	5
Gcnt2	4093	515
Gtf2i	3964	3517
Tnfsf12	1538	1248
Ablim2	2684	519
Lmo7	5190	286
Usp19	4292	2039
Rnf114	2139	989
Sucnr1	952	1
Lcn6	726	2
RT1-M2	1035	2
Elp5	1383	529
Fancd2	4307	843
Vmac	516	84
Tmem35a	1945	304
rnf141	975	567
Akap7	1044	130
Ly6g5b	585	2
Ly6g6c	846	21
Ly6g6d	405	10
Ly6g6e	959	9
Lmna	3112	5448
Clint1	1817	709
Sgce	1481	559
Slco4c1	2175	1
Npc1l1	4469	11
Atp6v0e2	862	808
Olr79	942	0
Ahi1	3141	820
Pofut1	1188	264
Rnf166	1755	584
Mrgprx2	885	41
Mas1l	966	0
Mrgprb13	987	0
Mrgprb5	1062	0
Mrgprx2l	945	0
Mrgprc	972	0
Mrgprb4	972	1
Mrgpre	930	52
Fut8	1728	777
Kprp	2815	0
Olr1384	942	0
Top1mt	1887	217
Bace2	1545	525
Btnl3	2175	2
C1rl	1384	108
C4b	5353	193
Capn11	2620	1
Clic1	1187	5013
Cpa5	2073	1
Atf6b	2507	1808
Ctsql2	1278	0
Ece2	3010	378
Spink7	261	0
Fkbpl	1272	123
Gfpt2	2992	378
Ggt6	1497	0
RT1-T18	1097	2
Cchcr1	2276	549
Wnk1	10755	6027
Mug2	3985	0
Notch4	6483	619
Pbx2	2858	899
Rasl11a	810	12
Rasl11b	1816	256
Rpp21	499	422
Senp17	1428	0
Senp18	1428	0
Smoc1	1359	172
Prm1	156	0
Nenf	654	630
Spata4	1086	0
P2ry13	1011	82
Tanc1	5819	686
Prm3	515	0
Enc1	4521	1720
Eml5	6540	185
Apold1	2883	747
Il22ra2	2505	21
LOC298116	852	0
Pard6a	1319	38
Pmpca	1760	1057
Ly6g6f	915	0
Slc38a7	1822	598
Wfdc21	368	0
Clec4d	714	82
Trappc4	863	495
Ufc1	1037	1140
C5ar2	1255	145
Jph4	1891	169
Kcnk18	1329	0
Abhd12b	621	0
Cntfr	1332	297
Prss57	705	2
Dnmt3a	4289	587
Dnmt3b	4281	69
Dnmt3l	1689	2
Dpcr1	1494	0
Gpsm3	1228	447
G4	1994	304
Mpig6b	699	14
Klk1c6	774	0
Gspt1	2545	1122
Tmprss11c	1257	1
Tmprss11b	1263	9
Krt13	1317	1
Krt15	1657	0
Rffl	1721	680
Sapcd1	835	76
Egfl8	1378	577
Ano7	2742	4
Pdha1	2814	1951
Lsm2	945	433
Rnf34	1960	583
Abcg3l1	2018	68
Gk2	1853	0
Cct5	1739	4698
Bpi	1945	0
Gsn	2582	16017
Mpi	1397	988
Hsp90ab1	2338	26749
Egln2	1988	1142
RT1-Bb	1515	0
Crat	2730	1724
Pon3	1452	450
Pcdh7	3755	374
Lrrc36	2410	38
Sipa1	3123	2168
Tspan5	2852	1621
Il17re	2612	50
Txndc8	431	0
Psma3l	897	0
S100a11	297	5525
Reg4	474	0
Try10	741	0
Cenpc	3132	476
Gjb2	2432	1395
Klk10	840	0
Klk4	771	0
ST7	2098	355
Tacc1	7632	3635
Stfa2l1	312	1
Krt39	1446	0
Krt24	1476	0
Cdk16	3098	2948
Shank2	10065	26
Tbp	1868	273
Tax1bp1	2900	3645
Cops3	1570	1033
Lrrc46	1259	51
Ccl6	348	470
Mcm7	2332	1383
Tmem248	1674	1246
Rilpl2	1289	410
Pa2g4	1574	2388
Dhps	1305	662
Cacybp	1523	1349
Hsd17b11	1595	1378
Xbp1	1841	2566
Ddx56	1939	340
Tusc3	1492	804
Saraf	1837	2518
Nqo2	1205	91
Ppic	1355	685
Nox3	1707	0
Katna1	1835	212
Fuca2	1602	459
Etfb	841	1051
Emc10	1635	2758
Arfip2	1775	941
Eef1g	1397	12461
Bcap31	1205	2858
RGD1303003	1277	909
Glmp	1571	2883
Rtca	1354	693
Emcn	1392	166
Nup35	1511	602
Edem2	1873	1087
Npdc1	1357	3031
Fscn3	1770	26
Mkrn1	1442	434
Pyroxd1	1756	215
Mrpl37	1453	736
Tspan1	1233	17
Aurkaip1	768	990
Rab21	1490	1002
Dctn2	1652	3698
Gpaa1	2018	1182
Samm50	1611	1593
Arhgap8	1517	54
Rpap3	2195	695
Kansl2	2058	275
Esam	1807	824
Ttc12	2214	149
Ubl7	1362	3604
Tmem30a	1754	3009
Tmed3	1307	929
Uqcrc1	1567	2918
Maip1	1379	323
Farsb	2161	894
Syap1	1466	687
Mtif2	2175	274
Dek	2553	2065
Sirt5	1342	545
Hspa14	1737	454
Nudt19	1315	195
Pnkp	1666	389
Slc22a18	1468	133
Pyroxd2	1970	222
Cog6	2152	440
Itgb6	2799	2
Knstrn	1454	502
Spint1	2290	106
Ak8	1551	6
Tmem106b	1854	950
Kdf1	1692	0
Jam3	1882	919
Snupn	1338	212
Ugt2b35	1869	0
Phf23	1686	884
Ggnbp2	2768	1521
Igfbp4	2163	760
Cops4	1573	953
Commd10	1395	639
Pla2g15	2647	776
Tsga10ip	1853	6
Ppid	1331	442
Mmadhc	1308	651
Tbc1d20	1364	938
Tmem178a	1640	235
Eif3d	1845	2078
Zmynd10	1730	89
Tacc2	9192	808
Tacc3	2040	1475
Pdia6	1721	5775
Hexa	1779	3732
Zbtb1	3266	331
Rnf113a2	1282	153
Smarca2	5928	1449
Spata21	2431	14
Dear	3253	36
Smgc	2779	0
Dmd	2360	428
Cr1l	2094	1543
Ddx19a	2528	774
Klk1c12	780	0
Acy1	1326	866
Osmr	2888	709
Rps25	466	3177
Ttc1	1435	801
Slc16a13	1904	709
Spata32	1148	5
MGC95210	3252	212
N4bp2l2	1984	661
Sdhc	1149	2361
Ddx59	2148	307
Srfbp1	1499	302
Ik	1995	2537
Fam160a2	3444	420
Smpdl3a	1661	5774
Ppm1j	1686	53
Vps16	2618	1015
Wdr34	1882	189
Nasp	2603	1127
Morn1	1607	62
Myg1	1163	512
Ttc36	780	0
Tspan3	1615	3530
