Geneid	Length	genome_mapping/High_6499c4.rep2.RNAseq.mm10.sorted.bam
Zfp85	2286	112
Scap	4288	6048
Zfp458	5455	138
Fbxo41	6678	10
Taf9b	2665	218
BC051142	1969	16
Ccdc148	4004	45
A2ml1	4698	336
Zfp941	3909	32
BC031181	1209	2995
Baz2b	7980	2805
Tmem204	1779	483
Primpol	3835	578
BC048507	598	0
Zfp456	4079	77
Zfp738	4504	448
Dis3l	3970	1298
Thnsl1	4043	815
Itga8	5845	76
Pramel4	2409	0
Tbx10	1778	0
Slc35d2	2276	1193
Adamts13	5026	84
Denn2b	4526	1622
Vkorc1l1	4919	2889
Cstdc6	387	0
Hexdc	2379	910
Spag6	1651	9
Plekha8	6988	988
Defb29	405	0
Trpv1	3587	4
Cyp2c23	2197	817
Zscan22	3507	298
AF067063	886	0
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	6
Tas2r144	960	0
Ttyh1	3057	71
Atp8b1	6440	2067
Mfsd4b5	5981	26
Oxgr1	3732	2
Tpm4	2099	34494
Lca5l	3170	89
Wdr83os	699	2292
Tnip3	3769	311
Gja6	2017	10
Usp17ld	1638	0
Chpf	3235	3587
Dab2ip	7509	7045
Prss48	1187	27
Sohlh1	1287	0
Nsd3	13244	6050
Zfp950	10561	960
Itprip	3986	2098
Zfp239	3282	333
Prrxl1	3924	0
Atp11c	6169	2636
Spink7	319	0
Ephx4	1548	104
Olfr576	939	0
Zfp36l2	3533	24833
Olfr279	933	0
Olfr221	936	0
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	2807
2510009E07Rik	5164	1020
Rtel1	4559	2435
Hecw2	11334	477
Nckap5l	4854	477
Tmem151a	3962	2143
H2-K1	1660	16279
Eea1	7836	6757
Megf10	7514	251
Limch1	6667	1280
Utp14b	3981	368
Ccdc9b	4716	4560
Pi4ka	6663	4831
Kdm2a	7265	8021
Nat8l	6529	98
Nol4l	6523	3829
Gp1bb	2085	62
2610507B11Rik	7443	22161
Panx2	3412	4
Zfp948	2843	1015
Lmna	3362	40582
Hspa2	2681	986
Tdrd1	5443	8
Rpl17	775	36035
Tmem158	1733	566
Adgrg6	6505	2798
Tro	7245	124
Smg6	5817	2905
Ccin	2030	0
Defb22	625	0
Pram1	2313	298
Fbxl12	2699	619
Nlrp14	3282	0
AI413582	637	1112
Bfsp2	1606	0
Atg9b	3902	5523
Sirpb1a	1232	83
Higd1c	506	0
Penk	1593	807
Nup85	2159	2837
Igfl3	575	0
Try5	801	50
Zfp457	2116	22
Krt77	2931	0
Krt87	1826	144
Gm5414	1723	0
Pcdhac1	5296	0
Pcdhac2	5719	0
Ghrhr	1598	4
Osbpl8	7152	2516
Ralgapa1	9773	2836
Erbb2	4998	4159
Kcnq2	8485	6
Masp2	3217	1085
Tardbp	7454	9276
Cltc	6539	22094
Ankib1	6781	4018
Ttc41	5031	113
Adamts7	5472	1429
Arhgef11	6831	3835
Mars1	2963	4494
Slc5a12	5191	0
Zc4h2	2256	216
Atg9a	4107	4113
Usp7	5427	9611
Ddx11	4240	833
Brsk1	3184	157
Rtn3	5038	12324
Cyp4x1	3985	3
Pid1	2667	1570
Tmem259	2225	8036
Rab3ip	2863	2352
Ces5a	2188	0
Sval3	550	0
Kdm2b	5450	1342
Rab11fip5	6124	8069
Dnmt3b	4327	273
Senp7	8000	785
Ppp3r2	2985	0
Fam170a	1402	0
Crtc1	5674	1541
Zfp386	4678	1316
Zfp619	5964	164
Ckap2	2601	1375
Cyp2j11	1934	0
Nlrp1a	4806	42
Usp22	4442	10146
Git1	3774	6912
Nlrp4g	2574	6
Fbll1	1505	0
Slc13a5	3485	138
Zfp366	2758	70
A4galt	2130	337
Rtp1	3120	0
Psg22	1880	14
AU018091	3448	12
Rragb	2281	18
9930012K11Rik	1986	467
Scarf1	2884	429
Gm5142	626	0
Clec4b2	1044	0
Gnptab	5342	4131
Sgpp2	3998	928
AA467197	640	592
Maml3	6512	1585
Celsr2	10628	570
Frg2f1	1902	63
Fam222a	2693	52
Tmem178b	12018	6
Slc28a1	2846	14
Whamm	3069	1810
Rexo5	2663	216
Zfp560	4732	528
Gm5617	633	286
BC048562	687	0
Rhox8	1202	0
Nlrp4e	3382	6
Amigo1	5586	476
Cntnap2	7139	10
Gprasp1	5959	1053
Tpgs2	6805	555
2610008E11Rik	4229	660
Nuak1	5634	862
Asap2	5679	5127
Actr3b	2114	220
Scube3	7107	50
Cxxc4	5618	83
Pik3r6	3513	351
Wapl	6351	5466
Cys1	1838	641
Tacc2	9622	7286
Pigu	1621	1902
Gpr158	7141	16
Pla2g4c	3485	18
Znhit3	1096	385
Olfr1197	945	0
Olfr1200	1011	0
Olfr1024	984	0
Dbx1	2077	0
Hps5	4807	1768
Ypel2	4902	953
Ypel4	752	47
Sp9	2813	0
Zfp960	2680	155
Spin2c	1306	34
Pramel26	1909	0
Ado	4445	1853
Ppp1r26	5805	74
Jaml	2458	643
Stmnd1	1363	0
Mreg	3530	280
Ajm1	4684	18
Zfp663	3458	0
Zcwpw1	2456	188
Iqsec2	6200	824
Barhl2	2314	8
Olfr132	942	0
Olfr111	1041	12
Olfr467	921	0
Txlna	4948	4259
Smg7	6181	3632
Arhgap30	4487	1119
Eif2a	2299	4185
Syne2	21718	11009
Lmtk3	5102	223
Olfr231	924	0
Olfr194	921	0
Rsrc2	2556	3851
Olfr1281	918	0
Olfr366	930	0
Olfr707	924	0
Aebp2	8157	5501
Itgb4	6169	12587
Phactr1	5973	110
Parl	1322	2539
Patj	8828	3008
Zfp69	2364	205
Mcoln2	2666	74
Aga	1290	1406
Gm609	2122	19
Ifit3b	2013	30
Rpl34	689	184
Clec4a4	1092	0
Mtus1	7412	4555
Zmiz2	4053	5357
Erbin	6664	11241
Zbtb9	2784	816
Epb41l1	9051	2635
Pramel25	1838	0
Phactr3	5700	2
Adam22	9451	370
Tdpoz2	1145	0
Clec3a	2930	0
Taar2	1020	0
Dusp13	2597	54
Zdhhc23	5864	152
Gsdma3	2200	0
Pabpn1l	1144	0
Spag8	1667	14
Rffl	4242	1473
Noto	1602	0
Slc7a6os	1533	2399
Zfp251	3504	360
Pnmal1	4090	0
Slc25a42	3172	783
D8Ertd738e	661	4735
Trpv5	2600	0
Maneal	2727	8
Zfp58	2359	322
Gucy2f	9998	0
Tceanc	4047	428
Armcx6	2034	48
Pramel20	2103	0
Fndc3c1	4812	0
Trp53rka	1868	703
Defa39	500	0
Best3	2719	13
Gm11541	1681	0
Akirin2	1719	2342
Rtn1	3917	44
Rtp2	2428	0
Daam2	6045	283
Asap3	5618	570
Plekhn1	2210	1171
Bnip2	6138	5810
Aox2	4776	4
Cdh12	5639	0
Nol10	2986	1409
Scaf1	4177	5388
Ccdc177	4399	0
Cdsn	2757	186
Thoc6	1539	1373
Teddm1b	2527	0
Zfp975	3145	193
Fbxw20	1511	3
Taar3	1032	0
P2ry14	2571	274
Wdr34	1800	1281
Taar4	1044	0
Zfp760	4209	576
Bbs12	2434	929
Zc3h14	4184	5811
Adora1	5819	776
Mxi1	3813	4008
1700001J03Rik	778	4
Pde2a	4987	2033
Zfp658	3381	304
Zfyve26	9368	3716
Il4ra	5219	10553
Dab2	4628	3756
Bud31	974	1954
Calm5	549	0
Kbtbd8	4732	70
Whrn	4406	252
Tmem232	2756	6
Adam6b	2271	0
Naaladl1	2689	51
Adam26b	2405	0
Adam20	2589	0
Zfp36l3	2613	2
Mup21	755	2
Unc13d	3967	2741
Taar5	1014	0
Armcx5	2824	373
Septin11	11141	10902
A3galt2	3390	34
Mief2	2522	862
Brsk2	4667	2
Txnip	2801	16725
Il19	1124	0
Dock11	6665	2386
Nrsn2	1422	2
Slc25a51	4437	5708
Slc38a8	2622	0
Cep44	1399	680
Scgb2b20	520	0
Pde1a	5579	264
Slc10a7	3644	1456
Ficd	3161	642
Kctd14	2557	89
Taar7b	1077	0
Taar6	1038	0
Taar7a	1077	0
Taar8a	1035	0
Taar9	1047	0
Mdc1	7352	2320
Slc10a5	3923	100
Taar7e	1077	0
Ppp1r13l	3130	1927
Taar8b	1035	0
Taar7d	1077	0
Taar7f	1077	0
Taar8c	1109	0
Mrps33	1052	459
Gjb6	2198	0
Gpr12	2760	0
Hrh2	5937	58
Olfr1193	957	0
Olfr94	1161	0
Olfr1148	945	0
Olfr310	1082	0
Olfr913	1275	0
Olfr1418	957	0
Olfr1415	936	0
Olfr503	972	0
Olfr456	1052	0
Olfr1251	957	2
Olfr723	1006	0
Olfr329	1037	0
Olfr1037	1125	0
Olfr688	966	0
Olfr988	930	0
Olfr1182	1178	0
