Geneid	Length	genome_mapping/136-LC_R1.rn6.sorted.bam
Olr1389	936	0
Olr1387	936	3
Olr1398	936	0
Olr1401	936	0
Olr1409	942	1
Olr1407	924	0
Olr1423	963	0
Olr1422	945	0
Olr1418	945	0
Olr1416	930	0
Olr1425	948	0
Olr1428	916	0
Olr1432	972	0
Olr1434	921	0
Olr1436	921	0
Olr1437	921	0
Olr1439	921	0
Olr1440	921	0
Olr1443	921	0
Olr1448	919	0
Olr1454	993	0
Olr1458	927	0
Olr1461	927	0
Olr1463	960	0
Olr1466	945	0
Olr1467	954	0
Olr1482	945	0
Olr1475	939	0
Olr1485	939	0
Olr1492	939	0
Olr1498	939	0
Olr1499	936	0
Olr1505	935	0
Olr1507	945	0
Olr1511	948	0
Olr1513	939	0
Olr1514	945	0
Olr1519	936	0
Olr1516	972	0
Olr1521	936	0
Olr1522	936	0
Olr1570	942	0
Olr1569	939	0
Olr1567	939	0
Olr1566	942	0
Olr1564	917	0
Olr1563	930	0
Olr1562	930	0
Olr1561	930	0
Olr1559	954	0
Olr1557	930	0
Olr1553	930	0
Olr1549	924	0
Olr875	939	0
Olr880	939	0
Olr881	936	0
Olr901	945	0
Olr898	960	0
Olr896	951	0
Olr892	939	0
Olr889	963	0
Olr1072	969	0
Olr1071	942	0
Olr1063	939	0
Olr1061	963	0
Olr1058	939	0
Olr1055	945	0
Olr1024	923	0
Olr1020	960	0
Olr1016	924	0
Olr1012	939	0
Olr1057	939	0
Olr951	943	0
Olr952	938	0
Olr1006	951	0
Olr1007	945	0
Olr1000	936	0
Olr1579	933	1
Olr1582	942	0
Olr1583	942	0
Olr1584	945	9
Olr1588	954	0
Olr1589	939	1
Olr1592	924	0
Olr1593	948	0
Olr1600	930	0
Olr1601	954	0
Olr1605	969	0
Olr1624	927	0
Olr1626	972	0
Olr1627	975	0
Olr1630	972	0
Olr1608	954	0
Olr1610	924	0
Olr1612	942	0
Olr1620	975	0
Olr1640	942	0
Olr1641	957	0
Olr1644	933	0
Olr1645	1005	0
Olr1646	945	0
Olr1653	948	1
Olr1658	921	0
Olr1660	939	0
Olr1662	954	0
Olr1666	939	2
Olr387	936	0
Olr3	954	0
Olr4	939	0
Olr5	909	0
Olr8	945	0
Olr11	948	0
Olr10	948	0
Olr13	927	0
Olr19	960	0
Olr20	993	0
Olr23	996	0
Olr30	930	0
Olr35	920	14
Olr48	954	0
Olr47	960	0
Olr45	954	0
Olr44	948	0
Olr41	942	0
Olr40	951	0
Olr39	990	0
Olr62	963	0
Olr56	951	0
Olr50	975	0
Olr49	927	0
Olr68	969	0
Olr74	945	0
Olr78	948	0
Olr83	939	0
Olr84	984	0
Olr85	936	0
Olr91	948	0
Olr92	945	0
Olr93	945	0
Olr98	948	0
Olr103	951	0
Olr104	960	0
Olr105	948	0
Olr106	972	0
Olr107	954	0
Olr108	942	0
Olr112	963	0
Olr113	942	0
Olr115	954	0
Olr119	954	0
Olr120	945	0
Olr121	954	0
Olr122	951	0
Olr124	948	0
Olr126	951	0
Olr128	963	0
Olr136	954	0
Olr139	948	0
Olr140	948	0
Olr143	939	0
Olr144	945	0
Olr148	972	0
Olr149	951	0
Olr153	975	0
Olr155	972	0
Olr157	990	0
Olr159	966	0
Olr163	966	0
Olr165	969	0
Olr167	960	0
Olr168	960	0
Olr170	966	0
Olr171	951	0
Olr172	957	0
